doi,pmid,cord_id,url,title,pub_type,date_publication,date_completion,trn_1,trn_2
10.3785/j.issn.1008-9292.2020.03.03,32391667,NA,NA,NA,full_results_journal_article,2020-05-25,NA,NCT04261517,NA
10.1016/S0140-6736(20)31022-9,32423584,bzeqs5oh,https://doi.org/10.1016/s0140-6736(20)31022-9; https://api.elsevier.com/content/article/pii/S0140673620310229; https://www.sciencedirect.com/science/article/pii/S0140673620310229; https://www.ncbi.nlm.nih.gov/pubmed/32423584/,"Remdesivir in adults with severe COVID-19: a randomised, double-blind, placebo-controlled, multicentre trial",interim_results_journal_article,2020-04-29,2020-04-10,NCT04257656,NA
10.3760/cma.j.cn121430-20200406-00386,32527346,NA,NA,NA,full_results_journal_article,2020-04-28,NA,ChiCTR2000029381,NA
10.1101/2020.05.28.20116467,NA,ipvog4m8,http://medrxiv.org/cgi/content/short/2020.05.28.20116467v1?rss=1,Efficacy and safety of interferon beta-1a in treatment of severe COVID-19: A randomized clinical trial,full_results_preprint,2020-05-30,2020-05-03,IRCT20100228003449N28,NA
10.1101/2020.04.07.20054767,NA,gzao2fo6,https://doi.org/10.1101/2020.04.07.20054767,Pulmonary radiological change of COVID-19 patients with 99mTc-MDP treatment,full_results_preprint,2020-04-14,NA,ChiCTR2000029431,NA
10.1056/NEJMoa2015301,32459919,NA,NA,NA,full_results_journal_article,2020-05-27,NA,NCT04292899,NA
10.1126/sciimmunol.abd0110,32503877,uejtwgar,https://doi.org/10.1126/sciimmunol.abd0110; https://www.ncbi.nlm.nih.gov/pubmed/32503877/,Inhibition of Bruton tyrosine kinase in patients with severe COVID-19,full_results_journal_article,2020-06-05,NA,NA,NA
10.1101/2020.03.19.20038984,NA,9hknw4ws,https://doi.org/10.1101/2020.03.19.20038984,An exploratory randomized controlled study on the efficacy and safety of lopinavir/ritonavir or arbidol treating adult patients hospitalized with mild/moderate COVID-19 (ELACOI),full_results_preprint,2020-04-15,NA,NCT04252885,NA
10.1101/2020.03.22.20040758,NA,q8l3ra55,https://doi.org/10.1101/2020.03.22.20040758,Efficacy of hydroxychloroquine in patients with COVID-19: results of a randomized clinical trial,full_results_preprint,2020-03-30,NA,ChiCTR2000029559,NA
10.1101/2020.06.21.20132944,NA,x2t5h5gu,http://medrxiv.org/cgi/content/short/2020.06.21.20132944v1?rss=1,Clinical predictors of donor antibody titer and correlation with recipient antibody response in a COVID-19 convalescent plasma clinical trial,full_results_preprint,2020-06-23,NA,NCT04340050,NA
10.1016/j.apsb.2020.04.008,32318327,k7bh8bf7,https://api.elsevier.com/content/article/pii/S2211383520305529; https://doi.org/10.1016/j.apsb.2020.04.008; https://www.ncbi.nlm.nih.gov/pubmed/32318327/; https://www.sciencedirect.com/science/article/pii/S2211383520305529?v=s5,Potential therapeutic effects of dipyridamole in the severely ill patients with COVID-19,full_results_journal_article,2020-04-20,NA,ChiCTR2000030055,NA
10.1101/2020.04.24.20077735,NA,rq5gh710,http://medrxiv.org/cgi/content/short/2020.04.24.20077735v1?rss=1,"A Novel Protein Drug, Novaferon, as the Potential Antiviral Drug for COVID-19",full_results_preprint,2020-04-29,NA,ChiCTR2000029496,NA
10.13703/j.0255-2930.20200224-k0004,32394650,NA,NA,NA,full_results_journal_article,2020-05,NA,NA,NA
10.1056/NEJMoa2007764,32445440,NA,NA,NA,interim_results_journal_article,2020-05-22,NA,NCT04280705,NA
10.1101/2020.05.26.20113373,NA,ze4bvjkt,http://medrxiv.org/cgi/content/short/2020.05.26.20113373v1?rss=1,Mortality reduction in 46 severe Covid-19 patients treated with hyperimmune plasma. A proof of concept single arm multicenter interventional trial,full_results_preprint,2020-05-29,2020-04-28,NCT04321421,NA
10.1016/j.jaci.2020.05.019,32470486,NA,NA,NA,full_results_journal_article,2020-05-26,NA,NA,NA
10.1101/2020.03.27.20044974,NA,4as055wh,http://medrxiv.org/cgi/content/short/2020.03.27.20044974v1?rss=1,Guideline-based Chinese herbal medicine treatment plus standard care for severe coronavirus disease 2019 (G-CHAMPS): evidence from China,full_results_preprint,2020-04-01,NA,ChiCTR2000029418,NA
10.1016/j.eng.2020.03.007,32346491,8caqxfxv,https://api.elsevier.com/content/article/pii/S2095809920300631; https://www.sciencedirect.com/science/article/pii/S2095809920300631; https://www.ncbi.nlm.nih.gov/pubmed/32346491/; https://doi.org/10.1016/j.eng.2020.03.007,Experimental Treatment with Favipiravir for COVID-19: An Open-Label Control Study,full_results_journal_article,2020-03-18,NA,ChiCTR2000029600,NA
10.1016/j.medj.2020.04.001,NA,ytqjxzaa,https://doi.org/10.1016/j.medj.2020.04.001; https://www.sciencedirect.com/science/article/pii/S2666634020300015?v=s5; https://api.elsevier.com/content/article/pii/S2666634020300015,Efficacy and safety of lopinavir/ritonavir or arbidol in adult patients with mild/moderate COVID-19: an exploratory randomized controlled trial,full_results_journal_article,2020-05-04,NA,NCT04252885,NA
10.1001/jamanetworkopen.2020.13136,32579195,NA,NA,NA,full_results_journal_article,2020-06-24,NA,NCT04326790,NA
10.1101/2020.04.15.20066266,NA,mvsnybbo,http://medrxiv.org/cgi/content/short/2020.04.15.20066266v1?rss=1,"A Randomized, Single-blind, Group sequential, Active-controlled Study to evaluate the clinical efficacy and safety of Î±-Lipoic acid for critically ill patients with coronavirus disease 2019(COVID-19)",full_results_preprint,2020-04-21,NA,ChiCTR2000029851,NA
10.1101/2020.03.21.20040691,NA,6g34qwer,https://doi.org/10.1101/2020.03.21.20040691,"Meplazumab treats COVID-19 pneumonia: an open-labelled, concurrent controlled add-on clinical trial",full_results_preprint,2020-03-24,NA,NCT04275245,NA
10.1101/2020.03.16.20037135,NA,tdlcb9bf,https://doi.org/10.1101/2020.03.16.20037135,Hydroxychloroquine and Azithromycin as a treatment of COVID-19: preliminary results of an open-label non-randomized clinical trial,full_results_preprint,2020-03-20,NA,EUCTR2020-000890-25-FR,NA
10.1001/jama.2020.10044,32492084,NA,NA,NA,full_results_journal_article,2020-06-03,2020-04-28,ChiCTR2000029757,NA
10.1016/j.intimp.2020.106688,32544867,m7rx8tv9,https://www.ncbi.nlm.nih.gov/pubmed/32544867/; https://doi.org/10.1016/j.intimp.2020.106688; https://www.sciencedirect.com/science/article/pii/S1567576920312893?v=s5; https://api.elsevier.com/content/article/pii/S1567576920312893,Subcutaneous administration of Interferon beta-1a for COVID-19: A non-controlled prospective trial,full_results_journal_article,2020-06-07,NA,IRCT20151227025726N12,NA
10.1101/2020.05.20.20107607,NA,1q8972uo,http://medrxiv.org/cgi/content/short/2020.05.20.20107607v1?rss=1,Chansu Injection Improves the Respiratory Function of Severe COVID-19 Patients,full_results_preprint,2020-05-26,NA,ChiCTR2000030704,NA
10.1016/j.phrs.2020.104950,32450344,qx677js6,https://www.sciencedirect.com/science/article/pii/S1043661820312585?v=s5; https://api.elsevier.com/content/article/pii/S1043661820312585; https://www.ncbi.nlm.nih.gov/pubmed/32450344/; https://doi.org/10.1016/j.phrs.2020.104950,"Enhanced platelet inhibition treatment improves hypoxemia in patients with severe Covid-19 and hypercoagulability. A case control, proof of concept study",full_results_journal_article,2020-05-23,NA,NCT04368377,NA
10.1101/2020.06.01.20119149,NA,xv0jhsj0,http://medrxiv.org/cgi/content/short/2020.06.01.20119149v1?rss=1,Tocilizumab for patients with COVID-19 pneumonia. The TOCIVID-19 phase 2 trial,full_results_preprint,2020-06-05,2020-04-04,NCT04317092,EUCTR2020-001110-38
10.1101/2020.06.17.20133579,NA,zql4zhyk,http://medrxiv.org/cgi/content/short/2020.06.17.20133579v1?rss=1,GLUCOCOVID: A controlled trial of methylprednisolone in adults hospitalized with COVID-19 pneumonia,full_results_preprint,2020-06-18,NA,EUCTR2020-001934-37-ES,NA
10.14336/ad.2020.0228,32257537,ghfrwccu,https://www.ncbi.nlm.nih.gov/pubmed/32257537/; https://doi.org/10.14336/ad.2020.0228,Transplantation of ACE2(-) Mesenchymal Stem Cells Improves the Outcome of Patients with COVID-19 Pneumonia,full_results_journal_article,2020-03-13,NA,ChiCTR2000029990,NA
10.1089/scd.2020.0080,32380908,NA,NA,NA,full_results_journal_article,2020-06-11,NA,NA,NA
10.1101/2020.06.22.20137273,NA,ocguwlam,http://medrxiv.org/cgi/content/short/2020.06.22.20137273v1?rss=1,Effect of Dexamethasone in Hospitalized Patients with COVID-19: Preliminary Report,interim_results_preprint,2020-06-22,NA,NCT04381936,NA
10.1101/2020.06.19.20136093,NA,t1vom8f3,http://medrxiv.org/cgi/content/short/2020.06.19.20136093v1?rss=1,Efficacy and safety of chloroquine or hydroxychloroquine in moderate type of COVID-19: a prospective open-label randomized controlled study,full_results_preprint,NA,NA,ChiCTR2000030054,NA
10.1016/S0140-6736(20)31042-4,32401715,8ljnxihr,https://www.sciencedirect.com/science/article/pii/S0140673620310424; https://doi.org/10.1016/s0140-6736(20)31042-4; https://api.elsevier.com/content/article/pii/S0140673620310424; https://www.ncbi.nlm.nih.gov/pubmed/32401715/,"Triple combination of interferon beta-1b, lopinavir–ritonavir, and ribavirin in the treatment of patients admitted to hospital with COVID-19: an open-label, randomised, phase 2 trial",full_results_journal_article,2020-05-08,NA,NCT04276688,NA
10.1073/pnas.2004168117,32253318,rbgoabfk,https://www.ncbi.nlm.nih.gov/pubmed/32253318/; https://doi.org/10.1073/pnas.2004168117,Effectiveness of convalescent plasma therapy in severe COVID-19 patients,full_results_journal_article,2020-04-06,NA,ChiCTR2000030046,NA
10.1016/S0140-6736(20)31208-3,32450106,uj5deryi,https://doi.org/10.1016/s0140-6736(20)31208-3; https://www.sciencedirect.com/science/article/pii/S0140673620312083; https://www.ncbi.nlm.nih.gov/pubmed/32450106/; https://api.elsevier.com/content/article/pii/S0140673620312083,"Safety, tolerability, and immunogenicity of a recombinant adenovirus type-5 vectored COVID-19 vaccine: a dose-escalation, open-label, non-randomised, first-in-human trial",full_results_journal_article,2020-05-22,NA,NCT04313127,NA
10.1101/2020.04.07.20056424,NA,ifxm3j4y,https://doi.org/10.1101/2020.04.07.20056424,"Chloroquine diphosphate in two different dosages as adjunctive therapy of hospitalized patients with severe respiratory syndrome in the context of coronavirus (SARS-CoV-2) infection: Preliminary safety results of a randomized, double-blinded, phase IIb clinical trial (CloroCovid-19 Study)",interim_results_preprint,2020-04-11,NA,NCT04323527,NA
