trialid,search_type,pub_type,search_engine,doi,pmid,cord_id,url,date_publication,date_completion,comments
NCT04315480,trn,other,europe_pmc,10.1101/2020.07.11.20151365,NA,NA,https://www.medrxiv.org/content/10.1101/2020.07.11.20151365v1,2020-07-11,NA,secondary analysis
NCT04315480,trn,full_results_preprint,google_scholar,10.21203/rs.3.rs-42117/v1,NA,NA,https://www.researchsquare.com/article/rs-42117/v1,2020-07-22,NA,NA
NCT04288102,trn,full_results_preprint,google,10.1101/2020.10.15.20213553,NA,NA,https://www.medrxiv.org/content/10.1101/2020.10.15.20213553v2,2020-10-21,NA,NA
NCT04288102,trn,full_results_preprint,google_scholar,10.2139/ssrn.3680611,32864128,NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3680611,2020-10-14,NA,NA
ChiCTR2000029542,results_check,interim_results_journal_article,NA,10.1093/jmcb/mjaa014,32236562,NA,https://academic.oup.com/jmcb/article/12/4/322/5814655,2020-04-01,NA,NA
NCT04275245,results_check,full_results_preprint,NA,10.1101/2020.03.21.20040691,NA,6g34qwer,https://doi.org/10.1101/2020.03.21.20040691,2020-03-24,NA,NA
ChiCTR2000033372,keywords,full_results_preprint,europe_pmc,10.1101/2020.05.29.20114223,NA,NA,https://www.medrxiv.org/content/10.1101/2020.05.29.20114223v1.article-info,2020-06-02,NA,NA
NCT04292730,registry,full_results_journal_article,NA,10.1001/jama.2020.16349,32821939,NA,https://pubmed.ncbi.nlm.nih.gov/32821939/#affiliation-1,2020-08-21,NA,NA
NCT04332081,trn,full_results_journal_article,google_scholar,NA,32931666,NA,https://pubmed.ncbi.nlm.nih.gov/32931666/,2020-09-09,NA,NA
ChiCTR2000029431,results_check,full_results_preprint,NA,10.1101/2020.04.07.20054767,NA,gzao2fo6,https://doi.org/10.1101/2020.04.07.20054767,2020-04-14,NA,NA
ChiCTR2000030545,keywords,other,google_scholar,NA,NA,NA,https://search.bvsalud.org/global-literature-on-novel-coronavirus-2019-ncov/resource/en/czh-1187,NA,NA,"Abstract, no link to full pub. Available only in WHO database with link to an ""internal database"" so unclear whether it is public."
NCT04304053,trn,full_results_preprint,europe_pmc,10.1101/2020.07.20.20157651,NA,NA,https://europepmc.org/article/PPR/PPR192214,2020-07-26,NA,NA
NCT04304053,trn,full_results_journal_article,europe_pmc,10.1093/cid/ciaa1009,32674126,NA,NA,2020-07-16,NA,Early Treatment
NCT04304053,keywords,full_results_preprint,google_scholar,10.2139/ssrn.3615997,NA,NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3615997,2020-07-16,NA,NA
NCT04331795,keywords,other,google_scholar,10.1158/1557-3265.COVID-19-S05-02,NA,NA,https://clincancerres.aacrjournals.org/content/26/18_Supplement/S05-02.abstract,2020-09-01,NA,Abstract
NCT04331795,registry,full_results_preprint,NA,10.1101/2020.07.20.20157503,NA,NA,https://www.medrxiv.org/content/10.1101/2020.07.20.20157503v1,2020-07-26,NA,NA
ChiCTR2000032456,registry,summary_results,NA,NA,NA,NA,http://www.chictr.org.cn/showproj.aspx?proj=53048,2020-05-04,NA,NA
RBR-9d8z6m,keywords,full_results_journal_article,pubmed,10.1056/NEJMoa2019014,32706953,NA,NA,2020-07-23,NA,NA
ChiCTR2000029434,results_check,full_results_journal_article,NA,10.1016/j.phymed.2020.153242,32425361,eb4z3u66,https://api.elsevier.com/content/article/pii/S0944711320300738; https://www.ncbi.nlm.nih.gov/pubmed/32425361/; https://www.sciencedirect.com/science/article/pii/S0944711320300738?v=s5; https://doi.org,2020-05-16,NA,NA
JPRN-UMIN000040407,trn,full_results_preprint,europe_pmc,10.1101/2020.06.08.20124453,NA,NA,https://www.medrxiv.org/content/10.1101/2020.06.08.20124453v1,2020-06-12,NA,NA
NCT04349241,trn,full_results_preprint,europe_pmc,10.21203/rs.3.rs-83677/v1,NA,NA,https://www.researchsquare.com/article/rs-83677/v1,2020-09-29,NA,NA
NCT04326790,results_check,full_results_journal_article,NA,10.1001/jamanetworkopen.2020.13136,32579195,NA,NA,2020-06-24,NA,NA
NCT04358614,trn,full_results_journal_article,europe_pmc,10.1016/j.jinf.2020.04.017,32592703,NA,NA,2020-04-23,NA,NA
NCT04410159,registry,summary_results,NA,NA,NA,NA,https://clinicaltrials.gov/ct2/show/results/NCT04410159,2020-07-21,NA,NA
ChiCTR2000029559,results_check,full_results_preprint,NA,10.1101/2020.03.22.20040758,NA,q8l3ra55,https://doi.org/10.1101/2020.03.22.20040758,2020-03-30,NA,NA
NCT04308668,registry,full_results_journal_article,NA,10.1056/NEJMoa2016638,32492293,NA,NA,2020-06-03,2020-05-06,NA
NCT04308668,registry,full_results_journal_article,NA,10.7326/M20-4207,32673060,NA,https://www.acpjournals.org/doi/10.7326/M20-4207,2020-07-16,2020-06-15,"last patient last date is not last data, so chose later date: ""follow-up concluded on 20 May, and final hospital outcomes were known by 15 June 2020"""
NCT04308668,trn,other,pubmed,10.1093/ofid/ofaa500,33204764,NA,NA,2020-10-19,NA,secondary analysis
NCT04391712,keywords,other,pubmed,10.12659/AJCR.926779,32865522,NA,https://www.amjcaserep.com/abstract/index/idArt/926779,2020-08-07,NA,case study
RPCEC00000313,trn,other,google_scholar,NA,NA,NA,https://www.preprints.org/manuscript/202009.0240/v1,2020-09-11,NA,NA
RPCEC00000313,trn,full_results_preprint,europe_pmc,10.1101/2020.05.27.20110601,NA,NA,https://www.medrxiv.org/content/10.1101/2020.05.27.20110601v1,2020-06-02,NA,NA
RPCEC00000313,trn,full_results_journal_article,google_scholar,NA,NA,NA,https://austinpublishinggroup.com/pharmacology-therapeutics/fulltext/ajpt-v8-id1119.php,2020-09-17,NA,NA
RPCEC00000313,trn,other,google_scholar,NA,NA,NA,http://revmedmilitar.sld.cu/index.php/mil/article/view/926/625,2020-09-30,NA,NA
RPCEC00000317,trn,full_results_preprint,google_scholar,10.1101/2020.09.03.20187112,NA,NA,https://www.medrxiv.org/content/10.1101/2020.09.03.20187112v2,2020-09-15,NA,NA
NCT04326790,registry,other,NA,10.1016/j.hjc.2020.03.002,32251729,NA,https://www.sciencedirect.com/science/article/pii/S1109966620300610?via%3Dihub,2020-04-03,NA,protocol
NCT04308668,registry,other,NA,10.1007/s12630-020-01684-7,32383125,NA,https://link.springer.com/article/10.1007/s12630-020-01684-7,2020-05-07,NA,protocol
ChiCTR2000029868,results_check,full_results_journal_article,NA,10.1136/bmj.m1849,32409561,NA,NA,2020-05-14,2020-03-14,NA
