id,date_completion,date_publication_any,date_publication_article,date_publication_preprint,date_publication_summary,date_cutoff,publication_any,publication_article,publication_preprint,publication_summary,time_publication_any,time_publication_article,time_publication_preprint,time_publication_summary
tri00002,2020-04-30,2020-04-15,2020-05-04,2020-04-15,NA,2020-10-01,TRUE,TRUE,TRUE,FALSE,-15,4,-15,154
tri00006,2020-04-30,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,154,154,154,154
tri00007,2020-05-31,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,123,123,123,123
tri00010,2020-06-01,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,122,122,122,122
tri00011,2020-06-01,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,122,122,122,122
tri00019,2020-06-30,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,93,93,93,93
tri00022,2020-04-16,2020-07-14,2020-07-14,NA,NA,2020-10-01,TRUE,TRUE,FALSE,FALSE,89,89,168,168
tri00026,2020-04-30,2020-08-05,2020-08-05,NA,NA,2020-10-01,TRUE,TRUE,FALSE,FALSE,97,97,154,154
tri00043,2020-06-30,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,93,93,93,93
tri00045,2020-04-30,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,154,154,154,154
tri00046,2020-05-12,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,142,142,142,142
tri00047,2020-05-10,2020-08-29,NA,2020-08-29,NA,2020-10-01,TRUE,FALSE,TRUE,FALSE,111,144,111,144
tri00049,2020-05-31,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,123,123,123,123
tri00062,2020-04-14,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,170,170,170,170
tri00073,2020-05-31,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,123,123,123,123
tri00076,2020-04-29,2020-03-18,2020-03-18,NA,NA,2020-10-01,TRUE,TRUE,FALSE,FALSE,-42,-42,155,155
tri00077,2020-04-30,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,154,154,154,154
tri00080,2020-02-29,2020-03-30,NA,2020-03-30,NA,2020-10-01,TRUE,FALSE,TRUE,FALSE,30,215,30,215
tri00082,2020-06-03,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,120,120,120,120
tri00083,2020-05-31,2020-05-05,NA,2020-05-05,NA,2020-10-01,TRUE,FALSE,TRUE,FALSE,-26,123,-26,123
tri00087,2020-04-30,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,154,154,154,154
tri00088,2020-04-30,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,154,154,154,154
tri00091,2020-03-31,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,184,184,184,184
tri00092,2020-06-30,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,93,93,93,93
tri00101,2020-03-31,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,184,184,184,184
tri00102,2020-04-30,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,154,154,154,154
tri00108,2020-04-30,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,154,154,154,154
tri00109,2020-03-30,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,185,185,185,185
tri00112,2020-04-17,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,167,167,167,167
tri00115,2020-05-14,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,140,140,140,140
tri00118,2020-05-31,NA,NA,NA,NA,2020-10-01,FALSE,FALSE,FALSE,FALSE,123,123,123,123
