id,pub_type
tri00002,Preprint
tri00002,Journal Article
tri00022,Journal Article
tri00026,Journal Article
tri00076,Journal Article
tri00080,Preprint
tri00083,Preprint
tri00137,Journal Article
tri00139,Preprint
tri00164,Registry Results
tri00171,Journal Article
tri00185,Preprint
tri00270,Preprint
tri00521,Preprint
tri00526,Journal Article
tri00526,Preprint
tri00596,Preprint
tri00623,Preprint
tri00654,Preprint
tri00656,Preprint
tri00732,Journal Article
tri00735,Preprint
tri00739,Preprint
tri00862,Journal Article
tri00896,Journal Article
tri01164,Journal Article
tri01258,Registry Results
tri01358,Journal Article
tri01868,Preprint
tri01919,Journal Article
tri02198,Preprint
tri02324,Preprint
tri02324,Journal Article
tri02446,Journal Article
tri02568,Preprint
tri02863,Preprint
tri02866,Preprint
tri02914,Preprint
tri02934,Preprint
tri03028,Preprint
tri03276,Preprint
tri03276,Journal Article
tri03277,Journal Article
tri03303,Journal Article
tri03558,Preprint
