id,n_trn,source,trn,registry
tri00001,1,ictrp,NCT04246242,ClinicalTrials.gov
tri00002,1,ictrp,NCT04252885,ClinicalTrials.gov
tri00003,1,ictrp,NCT04255940,ClinicalTrials.gov
tri00004,1,ictrp,NCT04260308,ClinicalTrials.gov
tri00005,1,ictrp,NCT04260594,ClinicalTrials.gov
tri00006,1,ictrp,NCT04261426,ClinicalTrials.gov
tri00007,1,ictrp,NCT04261907,ClinicalTrials.gov
tri00008,1,ictrp,ChiCTR2000029953,ChiCTR
tri00009,1,ictrp,ChiCTR2000029949,ChiCTR
tri00010,1,ictrp,ChiCTR2000029947,ChiCTR
tri00011,1,ictrp,ChiCTR2000029941,ChiCTR
tri00012,1,ictrp,ChiCTR2000029939,ChiCTR
tri00013,1,ictrp,ChiCTR2000029935,ChiCTR
tri00014,1,ictrp,ChiCTR2000029907,ChiCTR
tri00015,1,ictrp,ChiCTR2000029905,ChiCTR
tri00016,1,ictrp,ChiCTR2000029896,ChiCTR
tri00017,1,ictrp,ChiCTR2000029883,ChiCTR
tri00018,1,ictrp,ChiCTR2000029870,ChiCTR
tri00019,1,ictrp,ChiCTR2000029869,ChiCTR
tri00020,1,ictrp,ChiCTR2000029867,ChiCTR
tri00021,1,ictrp,ChiCTR2000029855,ChiCTR
tri00022,1,ictrp,ChiCTR2000029853,ChiCTR
tri00023,1,ictrp,ChiCTR2000029850,ChiCTR
tri00024,1,ictrp,ChiCTR2000029849,ChiCTR
tri00025,1,ictrp,ChiCTR2000029839,ChiCTR
tri00026,1,ictrp,ChiCTR2000029822,ChiCTR
tri00027,1,ictrp,ChiCTR2000029821,ChiCTR
tri00028,1,ictrp,ChiCTR2000029819,ChiCTR
tri00029,1,ictrp,ChiCTR2000029815,ChiCTR
tri00030,1,ictrp,ChiCTR2000029814,ChiCTR
tri00031,1,ictrp,ChiCTR2000029813,ChiCTR
tri00032,1,ictrp,ChiCTR2000029811,ChiCTR
tri00033,1,ictrp,ChiCTR2000029810,ChiCTR
tri00034,1,ictrp,ChiCTR2000029806,ChiCTR
tri00035,1,ictrp,ChiCTR2000029805,ChiCTR
tri00036,1,ictrp,ChiCTR2000029804,ChiCTR
tri00037,1,ictrp,ChiCTR2000029790,ChiCTR
tri00038,1,ictrp,ChiCTR2000029789,ChiCTR
tri00039,1,ictrp,ChiCTR2000029788,ChiCTR
tri00040,1,ictrp,ChiCTR2000029782,ChiCTR
tri00041,1,ictrp,ChiCTR2000029779,ChiCTR
tri00042,1,ictrp,ChiCTR2000029778,ChiCTR
tri00043,1,ictrp,ChiCTR2000029777,ChiCTR
tri00044,1,ictrp,ChiCTR2000029776,ChiCTR
tri00045,1,ictrp,ChiCTR2000029769,ChiCTR
tri00046,1,ictrp,ChiCTR2000029768,ChiCTR
tri00047,1,ictrp,ChiCTR2000029765,ChiCTR
tri00048,1,ictrp,ChiCTR2000029764,ChiCTR
tri00049,1,ictrp,ChiCTR2000029763,ChiCTR
tri00050,1,ictrp,ChiCTR2000029758,ChiCTR
tri00051,1,ictrp,ChiCTR2000029756,ChiCTR
tri00052,1,ictrp,ChiCTR2000029754,ChiCTR
tri00053,1,ictrp,ChiCTR2000029751,ChiCTR
tri00054,1,ictrp,ChiCTR2000029747,ChiCTR
tri00055,1,ictrp,ChiCTR2000029742,ChiCTR
tri00056,1,ictrp,ChiCTR2000029741,ChiCTR
tri00057,1,ictrp,ChiCTR2000029739,ChiCTR
tri00058,1,ictrp,ChiCTR2000029735,ChiCTR
tri00059,1,ictrp,ChiCTR2000029734,ChiCTR
tri00060,1,ictrp,ChiCTR2000029732,ChiCTR
tri00061,1,ictrp,ChiCTR2000029695,ChiCTR
tri00062,1,ictrp,ChiCTR2000029656,ChiCTR
tri00063,1,ictrp,ChiCTR2000029639,ChiCTR
tri00064,1,ictrp,ChiCTR2000029637,ChiCTR
tri00065,1,ictrp,ChiCTR2000029636,ChiCTR
tri00066,1,ictrp,ChiCTR2000029628,ChiCTR
tri00067,1,ictrp,ChiCTR2000029626,ChiCTR
tri00068,1,ictrp,ChiCTR2000029625,ChiCTR
tri00069,1,ictrp,ChiCTR2000029624,ChiCTR
tri00070,1,ictrp,ChiCTR2000029621,ChiCTR
tri00071,1,ictrp,ChiCTR2000029609,ChiCTR
tri00072,1,ictrp,ChiCTR2000029606,ChiCTR
tri00073,1,ictrp,ChiCTR2000029603,ChiCTR
tri00074,1,ictrp,ChiCTR2000029602,ChiCTR
tri00075,1,ictrp,ChiCTR2000029601,ChiCTR
tri00076,1,ictrp,ChiCTR2000029600,ChiCTR
tri00077,1,ictrp,ChiCTR2000029578,ChiCTR
tri00078,1,ictrp,ChiCTR2000029572,ChiCTR
tri00079,1,ictrp,ChiCTR2000029569,ChiCTR
tri00080,1,ictrp,ChiCTR2000029559,ChiCTR
tri00081,1,ictrp,ChiCTR2000029558,ChiCTR
tri00082,1,ictrp,ChiCTR2000029548,ChiCTR
tri00083,1,ictrp,ChiCTR2000029544,ChiCTR
tri00084,1,ictrp,ChiCTR2000029542,ChiCTR
tri00085,1,ictrp,ChiCTR2000029541,ChiCTR
tri00086,1,ictrp,ChiCTR2000029539,ChiCTR
tri00087,1,ictrp,ChiCTR2000029518,ChiCTR
tri00088,1,ictrp,ChiCTR2000029517,ChiCTR
tri00089,1,ictrp,ChiCTR2000029495,ChiCTR
tri00090,1,ictrp,ChiCTR2000029493,ChiCTR
tri00091,1,ictrp,ChiCTR2000029487,ChiCTR
tri00092,1,ictrp,ChiCTR2000029468,ChiCTR
tri00093,1,ictrp,ChiCTR2000029462,ChiCTR
tri00094,1,ictrp,ChiCTR2000029461,ChiCTR
tri00095,1,ictrp,ChiCTR2000029460,ChiCTR
tri00096,1,ictrp,ChiCTR2000029459,ChiCTR
tri00097,1,ictrp,ChiCTR2000029439,ChiCTR
tri00098,1,ictrp,ChiCTR2000029438,ChiCTR
tri00099,1,ictrp,ChiCTR2000029437,ChiCTR
tri00100,1,ictrp,ChiCTR2000029436,ChiCTR
tri00101,1,ictrp,ChiCTR2000029435,ChiCTR
tri00102,1,ictrp,ChiCTR2000029432,ChiCTR
tri00103,1,ictrp,ChiCTR2000029431,ChiCTR
tri00104,1,ictrp,ChiCTR2000029430,ChiCTR
tri00105,1,ictrp,ChiCTR2000029418,ChiCTR
tri00106,1,ictrp,ChiCTR2000029400,ChiCTR
tri00107,1,ictrp,ChiCTR2000029381,ChiCTR
tri00108,1,ictrp,NCT04268537,ClinicalTrials.gov
tri00109,1,ictrp,ChiCTR2000030188,ChiCTR
tri00110,1,ictrp,ChiCTR2000030185,ChiCTR
tri00111,1,ictrp,ChiCTR2000030179,ChiCTR
tri00112,1,ictrp,ChiCTR2000030173,ChiCTR
tri00113,1,ictrp,ChiCTR2000030170,ChiCTR
tri00114,1,ictrp,ChiCTR2000030167,ChiCTR
tri00115,1,ictrp,ChiCTR2000030166,ChiCTR
tri00116,1,ictrp,ChiCTR2000030165,ChiCTR
tri00117,1,ictrp,ChiCTR2000030164,ChiCTR
tri00118,1,ictrp,ChiCTR2000030138,ChiCTR
tri00119,1,ictrp,ChiCTR2000030137,ChiCTR
tri00120,1,reg,NCT04283825,ClinicalTrials.gov
tri00120,2,ictrp,ChiCTR2000030136,ChiCTR
tri00121,1,ictrp,ChiCTR2000030118,ChiCTR
tri00122,1,ictrp,ChiCTR2000030117,ChiCTR
tri00123,1,ictrp,ChiCTR2000030116,ChiCTR
