id,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,study_category,intervention,intervention_list,target_enrollment,web_address,trial_status,pcd_auto,scd_auto,rcd_auto,tabular_results,potential_other_results,registry_scraped,is_clinical_trial_manual,is_covid_manual,rcd_manual,pcd_manual,scd_manual,comments,is_intervention,is_reg_2020,is_not_withdrawn,is_eligible_study,is_rcd_cutoff_1,has_auto_reg_results_cutoff_1,is_searched_cutoff_1,is_not_withdrawn_manual,is_rcd_cutoff_1_manual,is_analysis_pop_cutoff_1,is_dupe,dupe_primary
tri00001,NCT04246242,ClinicalTrials.gov,2020-01-27,2020-01-25,TRUE,Xiangya Hospital of Central South University,Not Recruiting,Phase 4,Interventional,No Country Given,A Randomized Multicenter Controlled Clinical Trial of Arbidol in Patients With 2019 Novel Coronavirus (2019-nCoV),Drug,Umifenovir,Umifenovir,500,https://clinicaltrials.gov/show/NCT04246242,NA,NA,NA,NA,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00002,NCT04252885,ClinicalTrials.gov,2020-01-30,2020-01-28,TRUE,Guangzhou 8th People's Hospital,Recruiting,Phase 4,Interventional,China,The Efficacy of Lopinavir Plus Ritonavir and Arbidol Against Novel Coronavirus Infection,Drug,Lopinavir/ritonavir vs. umifenovir,Lopinavir/ritonavir; Umifenovir,125,https://clinicaltrials.gov/show/NCT04252885,Completed,2020-04-30,2020-05-31,2020-04-30,0,0,TRUE,TRUE,TRUE,2020-05-31,2020-04-30,2020-05-31,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00003,NCT04255940,ClinicalTrials.gov,2020-02-03,2020-01-20,TRUE,Qilu Hospital of Shandong University,Recruiting,Not Applicable,Observational,China,2019-nCoV Outbreak and Cardiovascular Diseases,Clinical Presentation,No Intervention,No Intervention,12000,https://clinicaltrials.gov/show/NCT04255940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00004,NCT04260308,ClinicalTrials.gov,2020-02-03,2020-02-03,FALSE,Huazhong University of Science and Technology,Recruiting,Not Applicable,Observational,China,A Survey of Psychological Status of Medical Workers and Residents in the Context of 2019 Novel Coronavirus Pneumonia,Other (psych),No Intervention,No Intervention,30000,https://clinicaltrials.gov/show/NCT04260308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00005,NCT04260594,ClinicalTrials.gov,2020-02-06,2020-02-07,FALSE,Jieming QU,Not Recruiting,Phase 4,Interventional,No Country Given,Clinical Study of Arbidol Hydrochloride Tablets in the Treatment of Pneumonia Caused by Novel Coronavirus,Drug,Umifenovir,Umifenovir,380,https://clinicaltrials.gov/show/NCT04260594,Not yet recruiting,2020-07-01,2020-12-30,2020-07-01,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00006,NCT04261426,ClinicalTrials.gov,2020-02-06,2020-02-10,FALSE,Peking Union Medical College Hospital,Not Recruiting,Phase 2/Phase 3,Interventional,No Country Given,The Efficacy of Intravenous Immunoglobulin Therapy for Severe 2019-nCoV Infected Pneumonia,ATMP,Immunoglobulin,Immunoglobulin,80,https://clinicaltrials.gov/show/NCT04261426,Not yet recruiting,2020-04-30,2020-06-30,2020-04-30,0,0,TRUE,TRUE,TRUE,2020-06-30,2020-04-30,2020-06-30,"Incidental screening. Preprint at doi.org/10.2139/ssrn.3696870 indicates trial not preformed: ""Early this year, we initiated a randomized controlled trials in China, to evaluate the benefit of high-dose IVIg in severe COVID-19 patients comparing with standard care (NCT04261426). Unfortunately, the randomization was not carried out due to force majeure at that time in China. However, high-dose IVIg was used as planned in severe COVID-19 patients in participating centers.""",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00007,NCT04261907,ClinicalTrials.gov,2020-02-06,2020-02-07,FALSE,The First Affiliated Hospital of Zhejiang University,Not Recruiting,Not Applicable,Interventional,No Country Given,Evaluating and Comparing the Safety and Efficiency of ASC09/Ritonavir and Lopinavir/Ritonavir for Novel Coronavirus Infection,Drug,SC09 + ritonavir vs. lopinavir/ritonavir,ASC09; lopinavir/ritonavir,160,https://clinicaltrials.gov/show/NCT04261907,Not yet recruiting,2020-05-31,2020-06-30,2020-05-31,0,0,TRUE,TRUE,TRUE,2020-06-30,2020-05-31,2020-06-30,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00008,ChiCTR2000029953,ChiCTR,2020-02-17,2020-02-01,TRUE,Zhongnan Hospital of Wuhan University,Not Recruiting,Not Applicable,Observational,China,Construction and Analysis of Prognostic Predictive Model of Novel Coronavirus Pneumonia (COVID-19),Prognosis,No Intervention,No Intervention,400,http://www.chictr.org.cn/showproj.aspx?proj=49217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00009,ChiCTR2000029949,ChiCTR,2020-02-16,2020-02-16,FALSE,Zhongnan Hospital of Wuhan University,Not Recruiting,Not Applicable,Observational,China,A Medical Records Based Study for the Effectiveness of Extracorporeal Membrane Oxygenation in Patients with Severe Novel Coronavirus Pneumonia (COVID-19),Drug,Oxygen,Oxygen,40,http://www.chictr.org.cn/showproj.aspx?proj=49181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00010,ChiCTR2000029947,ChiCTR,2020-02-16,2020-03-01,FALSE,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,A Randomized Controlled Trial for Qingyi No. 4 Compound in the treatment of Convalescence Patients of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=49599,Not yet recruiting,NA,2020-06-01,2020-06-01,0,0,TRUE,TRUE,TRUE,2020-06-01,NA,2020-06-01,Date of approved by ethic committee? 2013-08-26,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
