id,trialid
tri00001,NCT04246242
tri00002,NCT04252885
tri00003,NCT04255940
tri00004,NCT04260308
tri00005,NCT04260594
tri00006,NCT04261426
tri00007,NCT04261907
tri00008,ChiCTR2000029953
tri00009,ChiCTR2000029949
tri00010,ChiCTR2000029947
tri00011,ChiCTR2000029941
tri00012,ChiCTR2000029939
tri00013,ChiCTR2000029935
tri00014,ChiCTR2000029907
tri00015,ChiCTR2000029905
tri00016,ChiCTR2000029896
tri00017,ChiCTR2000029883
tri00018,ChiCTR2000029870
tri00019,ChiCTR2000029869
tri00020,ChiCTR2000029867
tri00021,ChiCTR2000029855
tri00022,ChiCTR2000029853
tri00023,ChiCTR2000029850
tri00024,ChiCTR2000029849
tri00025,ChiCTR2000029839
tri00026,ChiCTR2000029822
tri00027,ChiCTR2000029821
tri00028,ChiCTR2000029819
tri00029,ChiCTR2000029815
tri00030,ChiCTR2000029814
tri00031,ChiCTR2000029813
tri00032,ChiCTR2000029811
tri00033,ChiCTR2000029810
tri00034,ChiCTR2000029806
tri00035,ChiCTR2000029805
tri00036,ChiCTR2000029804
tri00037,ChiCTR2000029790
tri00038,ChiCTR2000029789
tri00039,ChiCTR2000029788
tri00040,ChiCTR2000029782
tri00041,ChiCTR2000029779
tri00042,ChiCTR2000029778
tri00043,ChiCTR2000029777
tri00044,ChiCTR2000029776
tri00045,ChiCTR2000029769
tri00046,ChiCTR2000029768
tri00047,ChiCTR2000029765
tri00048,ChiCTR2000029764
tri00049,ChiCTR2000029763
tri00050,ChiCTR2000029758
tri00051,ChiCTR2000029756
tri00052,ChiCTR2000029754
tri00053,ChiCTR2000029751
tri00054,ChiCTR2000029747
tri00055,ChiCTR2000029742
tri00056,ChiCTR2000029741
tri00057,ChiCTR2000029739
tri00058,ChiCTR2000029735
tri00059,ChiCTR2000029734
tri00060,ChiCTR2000029732
tri00061,ChiCTR2000029695
tri00062,ChiCTR2000029656
tri00063,ChiCTR2000029639
tri00064,ChiCTR2000029637
tri00065,ChiCTR2000029636
tri00066,ChiCTR2000029628
tri00067,ChiCTR2000029626
tri00068,ChiCTR2000029625
tri00069,ChiCTR2000029624
tri00070,ChiCTR2000029621
tri00071,ChiCTR2000029609
tri00072,ChiCTR2000029606
tri00073,ChiCTR2000029603
tri00074,ChiCTR2000029602
tri00075,ChiCTR2000029601
tri00076,ChiCTR2000029600
tri00077,ChiCTR2000029578
tri00078,ChiCTR2000029572
tri00079,ChiCTR2000029569
tri00080,ChiCTR2000029559
tri00081,ChiCTR2000029558
tri00082,ChiCTR2000029548
tri00083,ChiCTR2000029544
tri00084,ChiCTR2000029542
tri00085,ChiCTR2000029541
tri00086,ChiCTR2000029539
tri00087,ChiCTR2000029518
tri00088,ChiCTR2000029517
tri00089,ChiCTR2000029495
tri00090,ChiCTR2000029493
tri00091,ChiCTR2000029487
tri00092,ChiCTR2000029468
tri00093,ChiCTR2000029462
tri00094,ChiCTR2000029461
tri00095,ChiCTR2000029460
tri00096,ChiCTR2000029459
tri00097,ChiCTR2000029439
tri00098,ChiCTR2000029438
tri00099,ChiCTR2000029437
tri00100,ChiCTR2000029436
tri00101,ChiCTR2000029435
tri00102,ChiCTR2000029432
tri00103,ChiCTR2000029431
tri00104,ChiCTR2000029430
tri00105,ChiCTR2000029418
tri00106,ChiCTR2000029400
tri00107,ChiCTR2000029381
tri00108,NCT04268537
tri00109,ChiCTR2000030188
tri00110,ChiCTR2000030185
tri00111,ChiCTR2000030179
tri00112,ChiCTR2000030173
tri00113,ChiCTR2000030170
tri00114,ChiCTR2000030167
tri00115,ChiCTR2000030166
tri00116,ChiCTR2000030165
tri00117,ChiCTR2000030164
tri00118,ChiCTR2000030138
tri00119,ChiCTR2000030137
tri00120,ChiCTR2000030136
tri00121,ChiCTR2000030118
tri00122,ChiCTR2000030117
tri00123,ChiCTR2000030116
tri00124,ChiCTR2000030115
tri00125,ChiCTR2000030113
tri00126,ChiCTR2000030102
tri00127,ChiCTR2000030096
tri00128,ChiCTR2000030094
tri00129,ChiCTR2000030093
tri00130,ChiCTR2000030092
tri00131,ChiCTR2000030090
tri00132,ChiCTR2000030089
tri00133,ChiCTR2000030088
tri00134,ChiCTR2000030087
tri00135,ChiCTR2000030086
tri00136,ChiCTR2000030084
tri00137,ChiCTR2000030058
tri00138,ChiCTR2000030056
tri00139,ChiCTR2000030054
tri00140,ChiCTR2000030046
tri00141,ChiCTR2000030043
tri00142,ChiCTR2000030041
tri00143,ChiCTR2000030039
tri00144,ChiCTR2000030034
tri00145,ChiCTR2000030033
tri00146,ChiCTR2000030032
tri00147,ChiCTR2000030030
tri00148,ChiCTR2000030029
tri00149,ChiCTR2000030027
tri00150,ChiCTR2000030021
tri00151,ChiCTR2000030020
tri00152,ChiCTR2000030019
tri00153,ChiCTR2000030017
tri00154,ChiCTR2000030016
tri00155,ChiCTR2000030015
tri00156,ChiCTR2000030012
tri00157,ChiCTR2000030010
tri00158,ChiCTR2000030008
tri00159,ChiCTR2000030007
tri00160,ChiCTR2000030006
tri00161,ChiCTR2000030004
tri00162,ChiCTR2000030003
tri00163,ChiCTR2000030002
tri00164,ChiCTR2000030001
tri00165,ChiCTR2000030000
tri00166,ChiCTR2000029999
tri00167,ChiCTR2000029996
tri00168,ChiCTR2000029995
tri00169,ChiCTR2000029994
tri00170,ChiCTR2000029992
tri00171,ChiCTR2000029990
tri00172,ChiCTR2000029989
tri00173,ChiCTR2000029988
tri00174,ChiCTR2000029985
tri00175,ChiCTR2000029981
tri00176,ChiCTR2000029978
tri00177,ChiCTR2000029974
tri00178,ChiCTR2000029972
tri00179,ChiCTR2000029960
tri00180,ChiCTR2000029959
tri00181,ChiCTR2000029956
tri00182,ChiCTR2000029954
tri00183,ChiCTR2000029866
tri00184,ChiCTR2000029865
tri00185,ChiCTR2000029851
tri00186,ChiCTR2000029803
tri00187,ChiCTR2000029781
tri00188,ChiCTR2000029780
tri00189,ChiCTR2000029740
tri00190,NCT04270383
tri00191,NCT04273529
tri00192,NCT04273581
tri00193,NCT04275245
tri00194,NCT04275947
tri00195,NCT04279197
tri00196,NCT04279782
tri00197,NCT04279795
tri00198,NCT04279899
tri00199,NCT04280588
tri00200,ChiCTR2000030442
tri00201,ChiCTR2000030433
tri00202,ChiCTR2000030432
tri00203,ChiCTR2000030424
tri00204,ChiCTR2000030420
tri00205,ChiCTR2000030418
tri00206,ChiCTR2000030398
tri00207,ChiCTR2000030391
tri00208,ChiCTR2000030390
tri00209,ChiCTR2000030389
tri00210,ChiCTR2000030387
tri00211,ChiCTR2000030386
tri00212,ChiCTR2000030382
tri00213,ChiCTR2000030363
tri00214,ChiCTR2000030334
tri00215,ChiCTR2000030333
tri00216,ChiCTR2000030327
tri00217,ChiCTR2000030325
tri00218,ChiCTR2000030324
tri00219,ChiCTR2000030322
tri00220,ChiCTR2000030317
tri00221,ChiCTR2000030315
tri00222,ChiCTR2000030314
tri00223,ChiCTR2000030305
tri00224,ChiCTR2000030293
tri00225,ChiCTR2000030290
tri00226,ChiCTR2000030283
tri00227,ChiCTR2000030265
tri00228,ChiCTR2000030264
tri00229,ChiCTR2000030263
tri00230,ChiCTR2000030261
tri00231,ChiCTR2000030260
tri00232,ChiCTR2000030259
tri00233,ChiCTR2000030258
tri00234,ChiCTR2000030257
tri00235,ChiCTR2000030255
tri00236,ChiCTR2000030253
tri00237,ChiCTR2000030226
tri00238,ChiCTR2000030225
tri00239,ChiCTR2000030223
tri00240,ChiCTR2000030222
tri00241,ChiCTR2000030219
tri00242,ChiCTR2000030218
tri00243,ChiCTR2000030215
tri00244,ChiCTR2000030196
tri00245,ChiCTR2000030162
tri00246,ChiCTR2000030091
tri00247,ChiCTR2000030042
tri00248,ChiCTR2000030022
tri00249,ChiCTR2000030013
tri00250,ChiCTR2000029991
tri00251,ChiCTR2000029975
tri00252,ChiCTR2000029952
tri00253,ChiCTR2000029900
tri00254,ChiCTR2000029899
tri00255,ChiCTR2000029898
tri00256,ChiCTR2000029829
tri00257,ChiCTR2000029762
tri00258,ChiCTR2000029761
tri00259,ChiCTR2000029760
tri00260,ChiCTR2000029759
tri00261,ChiCTR2000029755
tri00262,ChiCTR2000029728
tri00263,ChiCTR2000029387
tri00264,ChiCTR2000029386
tri00265,NCT04276987
tri00266,NCT04281693
tri00267,NCT04282902
tri00268,NCT04284046
tri00269,NCT04286503
tri00270,ChiCTR2000030627
tri00271,ChiCTR2000030593
tri00272,ChiCTR2000030581
tri00273,ChiCTR2000030579
tri00274,ChiCTR2000030578
tri00275,ChiCTR2000030574
tri00276,ChiCTR2000030564
tri00277,ChiCTR2000030559
tri00278,ChiCTR2000030557
tri00279,ChiCTR2000030556
tri00280,ChiCTR2000030552
tri00281,ChiCTR2000030544
tri00282,ChiCTR2000030543
tri00283,ChiCTR2000030542
tri00284,ChiCTR2000030541
tri00285,ChiCTR2000030540
tri00286,ChiCTR2000030535
tri00287,ChiCTR2000030522
tri00288,ChiCTR2000030518
tri00289,ChiCTR2000030503
tri00290,ChiCTR2000030493
tri00291,ChiCTR2000030492
tri00292,ChiCTR2000030491
tri00293,ChiCTR2000030490
tri00294,ChiCTR2000030489
tri00295,ChiCTR2000030487
tri00296,ChiCTR2000030485
tri00297,ChiCTR2000030484
tri00298,ChiCTR2000030482
tri00299,ChiCTR2000030481
tri00300,ChiCTR2000030480
tri00301,ChiCTR2000030479
tri00302,ChiCTR2000030477
tri00303,ChiCTR2000030475
tri00304,ChiCTR2000030472
tri00305,ChiCTR2000030471
tri00306,ChiCTR2000030469
tri00307,ChiCTR2000030468
tri00308,ChiCTR2000030467
tri00309,ChiCTR2000030465
tri00310,ChiCTR2000030464
tri00311,ChiCTR2000030453
tri00312,ChiCTR2000030436
tri00313,ChiCTR2000030312
tri00314,ChiCTR2000030304
tri00315,ChiCTR2000030163
tri00316,ChiCTR2000030014
tri00317,ChiCTR2000029993
tri00318,ChiCTR2000029958
tri00319,ChiCTR2000029757
tri00320,ChiCTR2000029580
tri00321,ChiCTR2000029579
tri00322,ChiCTR2000029550
tri00323,ChiCTR2000029549
tri00324,ChiCTR2000029308
tri00325,NCT04292327
tri00326,NCT04292340
tri00327,NCT04293887
tri00328,NCT04295551
tri00329,NCT04296643
tri00330,NCT04298814
tri00331,NCT04299711
tri00332,ChiCTR2000030902
tri00333,ChiCTR2000030901
tri00334,ChiCTR2000030898
tri00335,ChiCTR2000030897
tri00336,ChiCTR2000030896
tri00337,ChiCTR2000030895
tri00338,ChiCTR2000030893
tri00339,ChiCTR2000030892
tri00340,ChiCTR2000030883
tri00341,ChiCTR2000030866
tri00342,ChiCTR2000030865
tri00343,ChiCTR2000030864
tri00344,ChiCTR2000030863
tri00345,ChiCTR2000030862
tri00346,ChiCTR2000030861
tri00347,ChiCTR2000030860
tri00348,ChiCTR2000030859
tri00349,ChiCTR2000030858
tri00350,ChiCTR2000030857
tri00351,ChiCTR2000030856
tri00352,ChiCTR2000030855
tri00353,ChiCTR2000030854
tri00354,ChiCTR2000030853
tri00355,ChiCTR2000030852
tri00356,ChiCTR2000030850
tri00357,ChiCTR2000030849
tri00358,ChiCTR2000030841
tri00359,ChiCTR2000030839
tri00360,ChiCTR2000030838
tri00361,ChiCTR2000030836
tri00362,ChiCTR2000030835
tri00363,ChiCTR2000030834
tri00364,ChiCTR2000030833
tri00365,ChiCTR2000030832
tri00366,ChiCTR2000030831
tri00367,ChiCTR2000030830
tri00368,ChiCTR2000030819
tri00369,ChiCTR2000030818
tri00370,ChiCTR2000030816
tri00371,ChiCTR2000030814
tri00372,ChiCTR2000030812
tri00373,ChiCTR2000030810
tri00374,ChiCTR2000030809
tri00375,ChiCTR2000030807
